#=====================================================
# File created:        Sun-10-Mar-2024-at-08-45-51AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        15.346923
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00561    0.4075   -1240.4123  0.7317 
   00562    0.4350   -1218.7752  0.7160 
   00563    0.4650   -1182.7056  0.6933 
   00564    0.4650   -1194.5061  0.6956 
   00565    0.4225   -1222.7462  0.6975 
   00566    0.3825   -1246.3773  0.7046 
   00567    0.3950   -1239.2166  0.7061 
   00568    0.4225   -1249.2334  0.7139 
   00569    0.4300   -1260.5516  0.7190 
   00570    0.4300   -1241.1769  0.7179 
   00571    0.4475   -1268.5948  0.7376 
   00572    0.3900   -1252.8651  0.7374 
   00573    0.4300   -1259.7774  0.7420 
   00574    0.3750   -1259.7140  0.7305 
   00575    0.4275   -1248.4389  0.7175 
   00576    0.3700   -1282.6376  0.7265 
   00577    0.3875   -1281.8691  0.7263 
   00578    0.4100   -1298.6413  0.7253 
   00579    0.4150   -1302.9429  0.7371 
   00580    0.4400   -1306.0755  0.7525 
   00581    0.3750   -1285.1665  0.7456 
   00582    0.4350   -1272.7726  0.7494 
   00583    0.4000   -1262.1955  0.7316 
   00584    0.4375   -1275.9775  0.7299 
   00585    0.4300   -1284.3161  0.7429 
   00586    0.3700   -1280.7540  0.7541 
   00587    0.4525   -1267.9951  0.7482 
   00588    0.4050   -1242.5495  0.7371 
   00589    0.4200   -1254.2544  0.7445 
   00590    0.4150   -1271.7315  0.7314 
   00591    0.4150   -1269.7122  0.7235 
   00592    0.4150   -1238.2345  0.7154 
   00593    0.3650   -1241.1291  0.7112 
   00594    0.4275   -1254.2728  0.7167 
   00595    0.3850   -1256.5218  0.7368 
   00596    0.4050   -1269.6555  0.7295 
   00597    0.4200   -1271.5167  0.7341 
   00598    0.4375   -1275.3840  0.7491 
   00599    0.4075   -1289.7449  0.7623 
   00600    0.3900   -1283.0024  0.7566 
   00601    0.4175   -1252.1206  0.7586 
